"from id","to id","distance","duration"
"1","4","121748.91076608602","90"
"1","5","131407.30697303257","94"
"1","6","41796.709141399384","44"
"1","7","52205.725890044276","52"
"1","8","3513.8141253708027","3"
"1","9","10842.742549598106","9"
"1","10","26719.491837222173","24"
"1","11","26736.934754420898","25"
"1","12","110377.99428402353","84"
"1","13","130376.1667072139","103"
"1","14","19511.92736910764","20"
"1","3","169310.66871455315","112"
"4","1","122874.76511025966","90"
"4","5","2789.0371713980085","5"
"4","6","59094.41844844976","60"
"4","7","48306.679388947465","48"
"4","8","122008.5858285227","90"
"4","9","132575.58985664832","98"
"4","10","146257.38251476307","86"
"4","11","148688.28671729765","91"
"4","12","18109.74698717533","14"
"4","13","209624.78767009047","130"
"4","14","95070.26507225944","75"
"4","3","51766.80567742987","33"
"5","1","131898.93220852123","94"
"5","4","2654.913515571675","4"
"5","6","68325.34154671138","64"
"5","7","57537.60248720908","52"
"5","8","122932.30927095795","92"
"5","9","141599.75695490986","101"
"5","10","147181.10595719836","89"
"5","11","149612.01015973295","93"
"5","12","19033.470429610574","17"
"5","13","210548.51111252577","132"
"5","14","95993.98851469463","77"
"5","3","52690.52911986511","35"
"6","1","41863.518141399356","44"
"6","4","59421.32510427611","60"
"6","5","68130.30831122259","64"
"6","7","11037.154228234296","12"
"6","8","38361.63320383601","42"
"6","9","51564.342887788116","51"
"6","10","67441.09217541221","66"
"6","11","67458.53509261092","67"
"6","12","73648.5473624887","59"
"6","13","160271.46704540384","132"
"6","14","22375.561447572825","26"
"6","3","106033.67005274321","82"
"7","1","52206.842890044274","52"
"7","4","48633.58604477382","49"
"7","5","57342.569251720306","52"
"7","6","11037.1542282343","12"
"7","8","47965.1109524808","50"
"7","9","61907.667636433034","60"
"7","10","77784.4169240571","75"
"7","11","77801.85984125582","76"
"7","12","49373.48030298639","52"
"7","13","169874.9447940487","139"
"7","14","31979.03919621766","33"
"7","3","95245.9309932409","70"
"8","1","3513.8141253708022","3"
"8","4","121852.01517269635","90"
"8","5","122742.24903546917","93"
"8","6","38276.95520383597","42"
"8","7","47946.124952480845","50"
"8","9","14356.556612034698","13"
"8","10","30233.30589965878","28"
"8","11","30250.748816857504","29"
"8","12","107238.07708673533","81"
"8","13","133889.98076965052","107"
"8","14","16372.010171819367","17"
"8","3","160855.35877698983","111"
"9","1","10933.194549598104","9"
"9","4","131420.2745124748","97"
"9","5","141078.67071942138","102"
"9","6","51468.072887788134","51"
"9","7","61877.08963643303","60"
"9","8","14447.008612034695","13"
"9","10","16824.21174955814","17"
"9","11","16841.65466675687","18"
"9","12","109603.85877068756","92"
"9","13","120480.88661954984","96"
"9","14","30445.121855771533","30"
"9","3","178982.0324609419","119"
"10","1","27280.87683722217","25"
"10","4","145637.73085893673","85"
"10","5","146527.96472170955","88"
"10","6","67815.75517541223","67"
"10","7","78224.77192405709","75"
"10","8","30794.690899658806","29"
"10","9","17018.159583610926","17"
"10","11","2430.904788433737","4"
"10","12","131023.79277297562","77"
"10","13","103656.67545589074","78"
"10","14","46792.8041433956","45"
"10","3","184641.07446323006","106"
"11","1","27361.8217544209","26"
"11","4","148056.52706147134","90"
"11","5","148946.76092424415","92"
"11","6","67896.70009261095","68"
"11","7","78305.71684125581","77"
"11","8","30875.635816857524","30"
"11","9","17099.104500809655","18"
"11","10","2418.7967884337368","4"
"11","12","133442.58897551015","81"
"11","13","106075.47165842536","83"
"11","14","46873.74906059432","47"
"11","3","187059.87066576467","111"
"12","1","110787.38028402359","85"
"12","4","19519.37533134901","14"
"12","5","20409.609194121822","17"
"12","6","74357.19436248872","60"
"12","7","62067.04730298635","52"
"12","8","107647.46308673524","82"
"12","9","110637.77077068744","93"
"12","10","131896.2597729757","78"
"12","11","134327.16397551028","83"
"12","13","195263.66492830316","121"
"12","14","80709.14233047207","67"
"12","3","58522.71893564244","35"
"13","1","130782.28370247739","104"
"13","4","209599.28200952787","130"
"13","5","210489.5158723007","132"
"13","6","160231.12504066754","132"
"13","7","169900.29478931247","140"
"13","8","134296.09776491392","108"
"13","9","120519.5664488661","96"
"13","10","103501.40745115436","78"
"13","11","105932.31165368896","83"
"13","12","194985.3439235667","121"
"13","14","138326.18000865087","107"
"13","3","248602.6256138212","150"
"14","1","19502.355369107638","20"
"14","4","94324.45341643311","74"
"14","5","95214.68727920593","77"
"14","6","22314.57644757282","26"
"14","7","31983.74619621767","33"
"14","8","16362.438171819365","17"
"14","9","30345.09785577154","30"
"14","10","46221.84714339559","44"
"14","11","46239.29006059434","46"
"14","12","79710.51533047209","66"
"14","13","138272.2720133873","107"
"14","3","133327.7970207266","95"
"3","1","168726.82471455316","111"
"3","4","48216.81402160352","32"
"3","5","49107.04788437633","35"
"3","6","105153.23405274324","81"
"3","7","94365.49499324095","69"
"3","8","159965.1507769898","110"
"3","9","178427.6494609418","119"
"3","10","184213.94746323017","106"
"3","11","186644.85166576476","111"
"3","12","56066.311935642465","35"
"3","13","247581.35261855763","150"
"3","14","133026.83002072654","95"
